Date,Fremont Bridge West Sidewalk,Fremont Bridge East Sidewalk
11/23/2012,168,187
11/22/2012,325,229
11/21/2012,668,702
11/20/2012,884,857
11/19/2012,475,492
11/18/2012,219,173
11/17/2012,348,292
11/16/2012,1023,983
11/15/2012,1304,1216
11/14/2012,1294,1306
11/13/2012,1050,1037
11/12/2012,839,792
11/11/2012,327,301
11/10/2012,685,584
11/09/2012,1251,1155
11/08/2012,1355,1336
11/07/2012,1406,1313
11/06/2012,1287,1206
11/05/2012,1430,1380
11/04/2012,548,463
11/03/2012,513,439
11/02/2012,1345,1133
11/01/2012,1061,1030
10/31/2012,883,827
10/30/2012,912,823
10/29/2012,1146,1071
10/28/2012,611,451
10/27/2012,289,242
10/26/2012,1039,1034
10/25/2012,1361,1352
10/24/2012,1250,1179
10/23/2012,1263,1237
10/22/2012,1088,1041
10/21/2012,540,449
10/20/2012,586,482
10/19/2012,965,1012
10/18/2012,1449,1474
10/17/2012,1647,1596
10/16/2012,1559,1477
10/15/2012,1200,1073
10/14/2012,427,271
10/13/2012,415,351
10/12/2012,1022,989
10/11/2012,1579,1468
10/10/2012,1648,1587
10/09/2012,1759,1742
10/08/2012,1829,1708
10/07/2012,1191,951
10/06/2012,1080,926
10/05/2012,1558,1590
10/04/2012,1708,1767
10/03/2012,1760,1761
