Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Burkina Faso,BFA,530.7855756,829.0523864,1165.274265,1225.850888,1300.498069,1308.546046,1393.562721,1470.435184,1546.937773,1580.253439,1619.540629,..
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Burundi,BDI,678.1205632,565.3579325,632.6474358,656.8677489,679.0614557,683.4686854,693.4700034,712.6704834,729.6979009,749.3267235,769.8821582,..
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Cabo Verde,CPV,1072.881207,3014.572463,4566.166223,5365.042686,5803.386002,5739.376255,5850.145328,6147.974534,6253.924007,6332.687754,6519.532162,..
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Cambodia,KHM,..,1086.552577,1964.211764,2189.504168,2346.803965,2331.425309,2462.45279,2648.650018,2845.34857,3053.049408,3262.639832,..
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Cameroon,CMR,1789.258373,1905.370959,2339.807259,2417.748926,2472.469533,2475.605671,2522.88181,2614.495561,2714.105608,2835.524347,2972.223252,..
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Canada,CAN,20019.81127,29075.94542,37822.24824,39226.34768,40108.28948,38709.05008,40055.27214,41567.43177,42280.83331,43033.14957,44057.2403,..
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Cayman Islands,CYM,..,..,..,..,..,..,..,49902.14655,..,..,..,..
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Central African Republic,CAF,604.8226312,656.5368275,779.026554,821.6781021,839.3651082,844.2027156,864.0099163,893.6794586,928.9726331,591.2870155,594.1644385,..
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Chad,TCD,717.5726593,787.153221,1599.891275,1640.202587,1667.697393,1694.821571,1884.795827,1862.351166,1996.492543,2071.628089,2182.0442,..
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Channel Islands,CHI,..,..,..,..,..,..,..,..,..,..,..,..
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Chile,CHL,4407.199386,9848.901938,15641.81103,16846.00826,16441.89632,16230.42275,18256.19664,20266.03603,21183.0464,21967.5793,22345.96111,..
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,China,CHN,979.9789832,2915.414665,5836.832773,6807.112205,7569.679892,8290.08893,9238.75527,10274.49435,11214.76882,12196.07448,13206.38357,..
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Colombia,COL,4869.162131,6585.333975,8957.336622,9710.901183,10132.23949,10260.20522,10680.00208,11496.52725,12052.9169,12711.2556,13357.14967,..
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Comoros,COM,989.8340593,1122.212766,1291.518663,1304.414622,1303.197522,1306.440009,1318.895891,1347.797753,1379.081603,1413.860021,1429.278285,..
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,"Congo, Dem. Rep.",ZAR,819.3605853,410.9759541,501.115433,529.2218734,554.8883649,556.7280751,584.2600548,617.1479614,652.0886234,695.6968466,745.8109489,..
