K,split,variable,accuracy
3,0.05,2,78.82124352331607
3,0.05,2,78.72395496311636
3,0.05,2,78.76208897485493
3,0.05,3,78.88102893890675
3,0.05,3,78.89908256880734
3,0.05,3,78.51957479906663
3,0.05,4,21.19127952245004
3,0.05,4,78.69570820982086
3,0.05,4,78.8290034897247
3,0.05,5,78.67237132114612
3,0.05,5,78.85559287005943
3,0.05,5,78.73607873607874
3,0.05,6,21.23092836824412
3,0.05,6,21.36652405030468
3,0.05,6,78.81696718121675
