K,split,variable,accuracy
5,0.5,2,20.945778658083682
5,0.5,2,20.69727473606678
5,0.5,2,21.433814533887936
5,0.5,3,21.370388116914228
5,0.5,3,20.976800976800977
5,0.5,3,21.52760885429336
5,0.5,4,21.28749085588881
5,0.5,4,21.21361618154909
5,0.5,4,20.877788554801164
5,0.5,5,21.198722672562024
5,0.5,5,21.172396735097703
5,0.5,5,20.943034944949737
5,0.5,6,21.67037311588831
5,0.5,6,21.53029205889452
5,0.5,6,20.995830267353448
