K,split,accuracy
5,0.02,97.85553047404063
6,0.02,98.84653961885657
6,0.02,97.50251004016064
6,0.02,98.49906191369607
6,0.02,97.56709305242036
6,0.02,98.01507537688443
6,0.02,97.88353162179085
6,0.02,98.04339646306283
6,0.02,98.79593628496175
6,0.02,98.45806694245958
6,0.02,97.3964200776067
7,0.02,98.08462694041062
7,0.02,97.31896767727387
7,0.02,97.42623979912115
7,0.02,98.41091091091091
7,0.02,97.8400100464649
7,0.02,98.50877192982456
7,0.02,97.85175879396985
7,0.02,98.31995987963892
7,0.02,98.13376753507013
7,0.02,96.7967967967968
8,0.02,98.17930688096433
8,0.02,97.19544259421559
8,0.02,95.93984962406014
8,0.02,97.00125470514429
8,0.02,96.36454807571769
8,0.02,97.48309541697971
8,0.02,96.62865020679283
8,0.02,98.02937115601857
8,0.02,98.3697015299724
8,0.02,96.66875391358798
9,0.02,98.43299486022315
9,0.02,97.30269730269731
9,0.02,97.38488488488488
9,0.02,97.91979949874687
9,0.02,97.68989328311363
9,0.02,96.37753823013287
9,0.02,97.35157524789759
9,0.02,96.66122756370027
9,0.02,98.38264794383149
9,0.02,97.12924658392879
10,0.02,97.8184553660983
10,0.02,96.66583103534721
10,0.02,97.26919704371791
10,0.02,97.56556657046053
10,0.02,96.7430790429663
10,0.02,96.55948955335919
10,0.02,97.34824682669347
10,0.02,96.59531856302415
10,0.02,97.55271084337349
10,0.02,96.50087478130467
1,0.03,98.07399898631526
1,0.03,97.88286004056795
1,0.03,97.04464738711313
1,0.03,98.62042779395014
1,0.03,98.52160727824109
1,0.03,97.95221843003414
1,0.03,98.83337560233325
1,0.03,98.34051178109956
1,0.03,98.60988247188172
1,0.03,98.31496262511085
2,0.03,97.73331644928453
2,0.03,96.87222996074458
2,0.03,96.70385395537525
2,0.03,96.40915412820837
2,0.03,97.42254951752159
2,0.03,96.70427177082013
2,0.03,96.02481326750222
2,0.03,96.39057750759878
2,0.03,97.29179910998093
2,0.03,97.04951247309104
3,0.03,97.73847125710677
3,0.03,97.972373590166
3,0.03,98.60935524652339
3,0.03,98.60600684323913
3,0.03,98.08180894308943
3,0.03,98.32657200811359
3,0.03,98.6606014657569
3,0.03,98.25205826472451
3,0.03,98.48139711465453
3,0.03,98.83411481434545
4,0.03,98.6207769201569
4,0.03,98.62147464272164
4,0.03,97.59432767789313
4,0.03,98.82768183537124
4,0.03,98.22380106571936
4,0.03,98.08399949245019
4,0.03,98.11868686868686
4,0.03,98.22807239589926
4,0.03,98.0253164556962
4,0.03,98.65567533291059
5,0.03,98.57106727364695
5,0.03,98.27586206896551
5,0.03,98.49137931034483
5,0.03,98.86854818204934
5,0.03,98.77075148903815
5,0.03,98.71065604854002
5,0.03,98.34114220590098
5,0.03,98.87213280952984
5,0.03,97.4981046247157
5,0.03,98.292220113852
6,0.03,97.3634174166561
6,0.03,98.82382698874414
6,0.03,97.67471249842032
6,0.03,98.0844856019282
6,0.03,98.67223065250379
6,0.03,97.91535060012635
6,0.03,96.97736183128873
6,0.03,98.42699479893442
6,0.03,98.76090529776205
6,0.03,97.67647430231091
7,0.03,98.131910026687
7,0.03,98.65805798202304
7,0.03,98.09547993905537
7,0.03,98.87055837563452
7,0.03,98.33143723928707
7,0.03,98.11320754716981
7,0.03,98.73015873015873
7,0.03,97.0145477545857
7,0.03,98.07375491065771
7,0.03,98.15283400809717
8,0.03,97.89687064487521
8,0.03,98.17928941711975
8,0.03,97.74397972116603
8,0.03,97.7026003534461
8,0.03,98.33312286904913
8,0.03,97.81947261663286
8,0.03,97.76507936507937
8,0.03,97.65436794725497
8,0.03,98.47889466345543
8,0.03,98.19193324061196
9,0.03,97.15009499683343
9,0.03,96.52953054013125
9,0.03,97.64467519311131
9,0.03,97.897403419886
9,0.03,96.75908342828205
9,0.03,97.97928769891386
9,0.03,97.58166624461889
9,0.03,97.82745989642542
9,0.03,97.1590909090909
9,0.03,98.72087132725432
10,0.03,98.69998737851824
10,0.03,97.45311708058793
10,0.03,97.63859073115292
10,0.03,96.92698412698412
10,0.03,98.46544071020926
10,0.03,97.07742914979757
10,0.03,98.01567239635996
10,0.03,98.4345410932963
10,0.03,97.14141158613711
10,0.03,98.1117729058421
1,0.04,97.57188498402556
1,0.04,97.98692140017951
1,0.04,98.39969274100628
1,0.04,98.80270029295632
1,0.04,98.20765586992702
1,0.04,98.49987287058225
1,0.04,98.72040946896993
1,0.04,98.24852978777805
1,0.04,98.25997952917092
1,0.04,98.41735800893427
2,0.04,97.80825429377083
2,0.04,98.25886570221482
2,0.04,97.26237687092235
2,0.04,97.5294418842806
2,0.04,98.73530914665304
2,0.04,96.80050987890377
2,0.04,97.87369493251846
2,0.04,98.38606378890739
2,0.04,97.58126439723573
2,0.04,97.34887295081968
3,0.04,98.71206324917114
3,0.04,98.75656967055507
3,0.04,98.69565217391305
3,0.04,97.75481566526342
3,0.04,97.78602508318403
3,0.04,98.59118852459017
3,0.04,98.32908163265306
3,0.04,98.80799794924378
3,0.04,98.69881362418676
3,0.04,98.315329218107
4,0.04,98.02917839774763
4,0.04,98.81543752388231
4,0.04,98.00588009714943
4,0.04,98.60488928708563
4,0.04,96.66067300282558
4,0.04,98.32416528079825
4,0.04,97.69496734537073
4,0.04,98.78903760356916
4,0.04,98.80163182049975
4,0.04,98.80071446797652
5,0.04,98.76338602753697
5,0.04,98.34551750673336
5,0.04,98.35626911314985
5,0.04,98.65505315742283
5,0.04,98.79533512751506
5,0.04,98.26042466103863
5,0.04,98.80447358272272
5,0.04,98.91332140117616
5,0.04,98.75656967055507
5,0.04,98.88661377015613
6,0.04,98.15289892252437
6,0.04,98.39306210942482
6,0.04,98.70246659815005
6,0.04,98.88675623800384
6,0.04,98.68151561699949
6,0.04,97.84383771370247
6,0.04,98.04896710022953
6,0.04,98.29988495462099
6,0.04,98.36233367451382
6,0.04,97.91693290734824
7,0.04,98.73579364065893
7,0.04,98.68789808917198
7,0.04,97.99640380169535
7,0.04,98.7490426346694
7,0.04,98.82593159775396
7,0.04,98.73740594311951
7,0.04,98.41654961052228
7,0.04,97.89689664016414
7,0.04,98.41411945261542
7,0.04,98.71860584315736
8,0.04,98.22273366577164
8,0.04,98.82126841768097
8,0.04,98.6644407345576
8,0.04,98.33929483903935
8,0.04,98.88661377015613
8,0.04,98.52583002179209
8,0.04,98.25908858166923
8,0.04,98.76006647066343
8,0.04,97.27063044592516
8,0.04,98.40214751374154
9,0.04,98.78594249201278
9,0.04,98.65746068277714
9,0.04,98.74181538066505
9,0.04,98.47357619291944
9,0.04,98.1880821743014
